path	ngenes_tscore	Dx_z	Dx_pval	Dx_pval_BHcorr	genes_path	tissue	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForSCZ
Negative feedback regulation of MAPK pathway	3	3.43864117309107	0.000584641612384942	0.0196211428936995	BRAF,MAP2K1,MAPK3	DLPC_CMC	genes P < pathway P	Reactome	Sorafenib-and-Sulindac-and-Arsenic trioxide-and-K-252a-and-Purvalanol-and-5-Bromo-N-[(2S)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide-and-5-iodotubercidin-and-XL281-and-Cobimetinib-and-RAF-265-and-Seliciclib-and-Bosutinib-and-(5S)-4,5-difluoro-6-[(2-fluoro-4-iodophenyl)imino]-N-(2-hydroxyethoxy)cyclohexa-1,3-diene-1-carboxamide-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-2-[(2-chloro-4-iodophenyl)amino]-N-{[(2R)-2,3-dihydroxypropyl]oxy}-3,4-difluorobenzamide-and-PD-0325901-and-N-(5-{3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]phenyl}-1,3,4-oxadiazol-2-yl)ethane-1,2-diamine-and-2-[(4-ETHYNYL-2-FLUOROPHENYL)AMINO]-3,4-DIFLUORO-N-(2-HYDROXYETHOXY)BENZAMIDE-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Trametinib-and-Dabrafenib-and-Selumetinib-and-Encorafenib-and-Fostamatinib-and-Ulixertinib-and-Ripretinib	30	DB00398-and-DB00605-and-DB01169-and-DB02152-and-DB02733-and-DB03115-and-DB04604-and-DB05190-and-DB05239-and-DB05984-and-DB06195-and-DB06616-and-DB06892-and-DB06999-and-DB07000-and-DB07046-and-DB07101-and-DB08130-and-DB08208-and-DB08553-and-DB08862-and-DB08881-and-DB08896-and-DB08911-and-DB08912-and-DB11689-and-DB11718-and-DB12010-and-DB13930-and-DB14840	BRAF-and-MAPK3-and-MAP2K1	
Negative regulation of FGFR2 signaling	10	3.74587699821186	0.000179764660457588	0.00989424691158562	MKNK1,FGF5,FGF2,FGF1,BRAF,FGFR2,CBL,MAPK3,GRB2,UBA52	DLPC_CMC	genes P < pathway P	Reactome	Palifermin-and-Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Thalidomide-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone-and-O2-Sulfo-Glucuronic Acid-and-4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Ponatinib-and-Dabrafenib-and-Lenvatinib-and-Nintedanib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Erdafitinib-and-Ulixertinib-and-Ripretinib-and-Pemigatinib-and-Selpercatinib	58	DB00039-and-DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01041-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02058-and-DB02264-and-DB02491-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB08238-and-DB08553-and-DB08862-and-DB08881-and-DB08896-and-DB08901-and-DB08912-and-DB09078-and-DB09079-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB12147-and-DB13930-and-DB14840-and-DB15102-and-DB15685	FGFR2-and-GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-MKNK1	
Negative regulation of FGFR3 signaling	9	3.42534981911103	0.000614008285631435	0.0201160809768775	MKNK1,FGF5,FGF2,FGF1,BRAF,CBL,MAPK3,GRB2,UBA52	DLPC_CMC	genes P < pathway P	Reactome	Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-O2-Sulfo-Glucuronic Acid-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Dabrafenib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Ulixertinib-and-Ripretinib	42	DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02264-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB08238-and-DB08553-and-DB08862-and-DB08881-and-DB08896-and-DB08912-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB13930-and-DB14840	GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-MKNK1	
Negative regulation of FGFR4 signaling	9	3.57361481392186	0.000352086754698236	0.0155757705814264	MKNK1,KLB,FGF2,FGF1,BRAF,CBL,MAPK3,GRB2,UBA52	DLPC_CMC	genes P < pathway P	Reactome	Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-O2-Sulfo-Glucuronic Acid-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Dabrafenib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Ulixertinib-and-Ripretinib	42	DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02264-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB08238-and-DB08553-and-DB08862-and-DB08881-and-DB08896-and-DB08912-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB13930-and-DB14840	GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-MKNK1	
Olfactory Signaling Pathway	9	3.54047863001299	0.000399401979043275	0.0161640330342219	OR2W3,OR2L13,OR14I1,REEP1,RTP1,RTP4,REEP5,REEP2,REEP3	DLPC_CMC	genes P < pathway P	Reactome		0			
PD-1 signaling	8	3.7283335640672	0.000192750143018716	0.0102009306459136	HLA-DRA,HLA-DRB1,HLA-DQA1,HLA-DPA1,HLA-DPB1,CD274,CD4,CSK	DLPC_CMC	genes P < pathway P	Reactome	Antithymocyte immunoglobulin (rabbit)-and-Dasatinib-and-Staurosporine-and-TG-100801-and-1D09C3-and-Glatiramer-and-Clenoliximab-and-Coccidioides immitis spherule-and-Atezolizumab-and-Durvalumab-and-Avelumab-and-Fostamatinib-and-Ibalizumab	13	DB00098-and-DB01254-and-DB02010-and-DB05075-and-DB05121-and-DB05259-and-DB06241-and-DB11294-and-DB11595-and-DB11714-and-DB11945-and-DB12010-and-DB12698	CD4-and-CSK-and-HLA-DRA-and-HLA-DRB1-and-CD274	
Phosphorylation of CD3 and TCR zeta chains	9	3.89783346295452	9.70571231132571e-05	0.00653754053038525	PTPN22,HLA-DRA,HLA-DRB1,HLA-DQA1,HLA-DPA1,HLA-DPB1,PTPRJ,CD4,CSK	DLPC_CMC	genes P < pathway P	Reactome	Antithymocyte immunoglobulin (rabbit)-and-Dasatinib-and-Staurosporine-and-TG-100801-and-1D09C3-and-Glatiramer-and-Clenoliximab-and-Coccidioides immitis spherule-and-Fostamatinib-and-Ibalizumab	10	DB00098-and-DB01254-and-DB02010-and-DB05075-and-DB05121-and-DB05259-and-DB06241-and-DB11294-and-DB12010-and-DB12698	CD4-and-CSK-and-HLA-DRA-and-HLA-DRB1	
Phosphorylation of the APC/C	4	-3.21243819303255	0.00131613464183408	0.0323393083422087	ANAPC4,CDC23,CDK1,CDC16	DLPC_CMC	pathway P < genes P & genes FDR > 0.05	Reactome	Indirubin-3'-monoxime-and-Olomoucine-and-Hymenialdisine-and-SU9516-and-Alvocidib-and-Alsterpaullone-and-Seliciclib-and-AT-7519-and-Fostamatinib	9	DB02052-and-DB02116-and-DB02950-and-DB03428-and-DB03496-and-DB04014-and-DB06195-and-DB08142-and-DB12010	CDK1	
Pre-NOTCH Processing in Golgi	5	3.08449250317698	0.00203899748733659	0.0445342943265896	ST3GAL6,NOTCH4,NOTCH1,RAB6A,ST3GAL4	DLPC_CMC	genes P < pathway P	Reactome		0			
Pre-NOTCH Processing in the Endoplasmic Reticulum	3	4.1148334282989	3.87459111237453e-05	0.00330488660626331	POGLUT1,NOTCH4,NOTCH1	DLPC_CMC	genes P < pathway P	Reactome		0			
Processing of Capped Intron-Containing Pre-mRNA	72	-3.50286434543073	0.000460283811603579	0.0175930701324035	DNAJC8,SF3A3,PPIE,SRSF11,BCAS2,CHTOP,SNRNP27,GCFC2,POLR2D,PRPF40A,CWC22,NUP35,SF3B1,PPIL3,NUP210,THOC7,U2SURP,NCBP2,POLR2B,NUP54,EIF4E,METTL14,LSM6,CWC27,PPWD1,SLU7,SNRPC,PPIL6,PPIL4,NUP43,WTAP,NUPL2,HNRNPA2B1,LSM5,CPSF4,NUP205,HNRNPK,GLE1,CSTF2T,NUP160,SF3B2,PCF11,CWC15,ZCRB1,NUP107,SRSF9,SRSF5,SNW1,CPSF2,SNRPN,SNRNP25,RNPS1,NUP93,SF3B3,DHX38,NUP88,POLR2A,NUP85,SRSF2,TXNL4A,XAB2,U2AF1L4,POLR2I,SNRPA,SNRPD2,SYMPK,SNRNP70,NUP62,SNRPB2,PRPF6,TFIP11,NUP50	DLPC_CMC	genes P < pathway P	Reactome	7-methyl-GpppA-and-7-methyl-7,8-dihydroguanosine-5'-diphosphate-and-Malonic acid-and-7-methyl-guanosine-5'-triphosphate-and-Uridine-and-Uridine monophosphate-and-Quercetin-and-Citric acid-and-LY2275796-and-S-[(1-Hydroxy-2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrol-3-yl)methyl] methanesulfonothioate-and-Copper-and-Artenimol-and-Phenethyl Isothiocyanate-and-H3B-8800	17	DB01649-and-DB01960-and-DB02175-and-DB02716-and-DB02745-and-DB03685-and-DB04216-and-DB04272-and-DB05165-and-DB08217-and-DB09130-and-DB11638-and-DB12695-and-DB14017	EIF4E-and-SNRPA-and-LSM6-and-SF3B3-and-HNRNPA2B1-and-HNRNPK-and-SNRPD2-and-SF3A3-and-SF3B1	
Protein folding	28	-3.56617667276439	0.00036222722282387	0.0155757705814264	GNG5,GNG4,RGS7,GNB4,TBCA,PFDN1,KIF13A,CSNK2B,SKIV2L,TCP1,ACTB,FKBP9,GNAI1,TUBA1A,TUBA1C,GNG2,RGS6,LONP2,CCT6B,RGS9,SPHK1,TUBB6,GNG7,NOP56,ARFGEF2,CCT8,TUBA8,GNAZ	DLPC_CMC	genes P < pathway P	Reactome	ATP-and-Albendazole-and-Vinblastine-and-Mebendazole-and-Halothane-and-Epothilone D-and-Patupilone-and-Quercetin-and-Guanosine-5'-Diphosphate-and-Tetrafluoroaluminate Ion-and-CYT997-and-2-MERCAPTO-N-[1,2,3,10-TETRAMETHOXY-9-OXO-5,6,7,9-TETRAHYDRO-BENZO[A]HEPTALEN-7-YL]ACETAMIDE-and-Fingolimod-and-Artenimol-and-Phenethyl Isothiocyanate-and-Colchiceine	26	DB00171-and-DB00518-and-DB00570-and-DB00643-and-DB01159-and-DB01873-and-DB03010-and-DB04216-and-DB04315-and-DB04444-and-DB05147-and-DB07574-and-DB08868-and-DB11638-and-DB12695-and-DB15534	CSNK2B-and-TUBA1A-and-GNG2-and-TUBA1C-and-TUBA8-and-ACTB-and-GNAI1-and-TUBB6-and-SPHK1	
Pyrophosphate hydrolysis	2	-3.61674384099321	0.00029833227600296	0.0146609004207169	PPA2,PPA1	DLPC_CMC	genes P < pathway P	Reactome		0			
RNA Polymerase I Transcription Initiation	18	-4.10272797228582	4.08307211529623e-05	0.00330488660626331	TAF1B,POLR1A,POLR1B,ERCC3,KAT2B,CDK7,POLR1E,TTF1,ERCC6,GTF2H1,TAF1D,GTF2H3,POLR1D,RRN3,TAF1C,GATAD2A,ERCC2,CD3EAP	DLPC_CMC	genes P < pathway P	Reactome	Coenzyme A-and-Phosphonothreonine-and-Alvocidib-and-SNS-032-and-Seliciclib-and-(3E)-4-(1-METHYL-1H-INDOL-3-YL)BUT-3-EN-2-ONE-and-N-(3-AMINOPROPYL)-2-NITROBENZENAMINE	7	DB01992-and-DB02482-and-DB03496-and-DB05969-and-DB06195-and-DB08186-and-DB08291	KAT2B-and-CDK7	
RUNX3 regulates p14-ARF	3	-3.36318676873103	0.000770482175816941	0.0216363974270227	BRD2,KRAS,EP300	DLPC_CMC	genes P < pathway P	Reactome	[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID-and-Farnesyl diphosphate-and-MRTX849-and-AMG-510	4	DB07771-and-DB07780-and-DB15568-and-DB15569	KRAS	
Receptor Mediated Mitophagy	2	-3.65491624250195	0.000257265953862053	0.0131110352783032	CSNK2B,MAP1LC3A	DLPC_CMC	genes P < pathway P	Reactome	ATP-and-Quercetin	2	DB00171-and-DB04216	CSNK2B	
Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor	5	4.295035731715	1.74665202044584e-05	0.00184876398471806	ADAM17,NOTCH4,NOTCH1,ADAM10,UBA52	DLPC_CMC	genes P < pathway P	Reactome	XL784-and-(3S)-1-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}pyrrolidine-3-thiol-and-3-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}propane-1-thiol-and-4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE-and-(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE-and-methyl (1R,2S)-2-(hydroxycarbamoyl)-1-{4-[(2-methylquinolin-4-yl)methoxy]benzyl}cyclopropanecarboxylate-and-(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid-and-N-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-D-tryptophan-and-(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE	9	DB04991-and-DB06943-and-DB07079-and-DB07121-and-DB07145-and-DB07147-and-DB07189-and-DB07233-and-DB07964	ADAM10-and-ADAM17	
Regulation of Complement cascade	11	5.25316792663919	1.49505107894321e-07	6.85730094875285e-05	C1QA,CD55,CR1,CD46,PROS1,CFB,C4A,C4B,C5,CD81,CD59	DLPC_CMC	pathway P < genes P & genes FDR < 0.05	Reactome	Cetuximab-and-Etanercept-and-Human immunoglobulin G-and-Drotrecogin alfa-and-Palivizumab-and-Daclizumab-and-Bevacizumab-and-Menadione-and-Chloramphenicol-and-Sodium tetradecyl sulfate-and-Eculizumab-and-Zinc-and-4-guanidinobenzoic acid-and-Diisopropylphosphono Group-and-MLN2222-and-Copper-and-Kappadione-and-Ravulizumab-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	30	DB00002-and-DB00005-and-DB00028-and-DB00055-and-DB00110-and-DB00111-and-DB00112-and-DB00170-and-DB00446-and-DB00464-and-DB01257-and-DB01593-and-DB02459-and-DB04491-and-DB06503-and-DB09130-and-DB09332-and-DB11580-and-DB14487-and-DB14533-and-DB14548	C1QA-and-C4A-and-C4B-and-C5-and-PROS1-and-CD55-and-CFB	
Regulation of TP53 Activity through Association with Co-factors	2	-3.09410506867388	0.00197407562206142	0.0438117428380083	PPP1R13B,BANP	DLPC_CMC	genes P < pathway P	Reactome		0			
Release of apoptotic factors from the mitochondria	2	-3.4747408983608	0.000511346998731033	0.0187471319592951	BAK1,DIABLO	DLPC_CMC	genes P < pathway P	Reactome	Phenethyl Isothiocyanate	1	DB12695	DIABLO	
Rev-mediated nuclear export of HIV RNA	17	-3.52399036863391	0.000425099700830909	0.0167124910955237	RCC1,XPO1,NUP35,NUP210,NUP54,NUP43,NUPL2,NUP205,NUP160,NUP107,RAN,NUP93,NUP88,NUP85,NUP62,RANGAP1,NUP50	DLPC_CMC	genes P < pathway P	Reactome	Guanosine-5'-Diphosphate-and-Selinexor	2	DB04315-and-DB11942	RAN-and-XPO1	
SUMOylation of DNA replication proteins	14	-3.75854884666744	0.000170901677364343	0.00979836283555567	NUP35,NUP210,NUP54,NUP43,NUPL2,NUP205,NUP160,NUP107,NUP93,NUP88,NUP85,NUP62,RANGAP1,NUP50	DLPC_CMC	genes P < pathway P	Reactome		0			
Signal attenuation	2	3.47141353709962	0.000517726027945648	0.0187471319592951	MAPK3,GRB2	DLPC_CMC	genes P < pathway P	Reactome	Pegademase-and-Sulindac-and-Arsenic trioxide-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-5-iodotubercidin-and-Seliciclib-and-Cholecystokinin-and-Ulixertinib	9	DB00061-and-DB00605-and-DB01169-and-DB02733-and-DB03276-and-DB04604-and-DB06195-and-DB08862-and-DB13930	GRB2-and-MAPK3	
Signaling by FGFR1	14	3.25125767864044	0.00114895672186019	0.0298295179109361	MKNK1,FGF5,FGF2,GAB1,FGF1,BRAF,FGFR1,CBL,KRAS,KL,FLRT2,MAPK3,GRB2,UBA52	DLPC_CMC	genes P < pathway P	Reactome	Palifermin-and-Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone-and-O2-Sulfo-Glucuronic Acid-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL999-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-3-(3-methoxybenzyl)-1H-pyrrolo[2,3-b]pyridine-and-[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID-and-Farnesyl diphosphate-and-(E)-[4-(3,5-Difluorophenyl)-3H-pyrrolo[2,3-b]pyridin-3-ylidene](3-methoxyphenyl)methanol-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Ponatinib-and-Dabrafenib-and-Lenvatinib-and-Nintedanib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Erdafitinib-and-Ulixertinib-and-Ripretinib-and-Pemigatinib-and-MRTX849-and-AMG-510-and-Selpercatinib	62	DB00039-and-DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02058-and-DB02264-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05014-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB07525-and-DB07771-and-DB07780-and-DB07840-and-DB08238-and-DB08553-and-DB08577-and-DB08862-and-DB08881-and-DB08896-and-DB08901-and-DB08912-and-DB09078-and-DB09079-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB12147-and-DB13930-and-DB14840-and-DB15102-and-DB15568-and-DB15569-and-DB15685	FGFR1-and-GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-KRAS-and-MKNK1	
Signaling by FGFR4	11	3.15808162600263	0.00158811083430412	0.0376765604828012	MKNK1,KLB,FGF2,GAB1,FGF1,BRAF,CBL,KRAS,MAPK3,GRB2,UBA52	DLPC_CMC	genes P < pathway P	Reactome	Pegademase-and-Sucralfate-and-Sorafenib-and-Sulindac-and-Pentosan polysulfate-and-Sirolimus-and-Amlexanox-and-Heparin-and-Arsenic trioxide-and-Sucrosofate-and-Formic acid-and-O2-Sulfo-Glucuronic Acid-and-Purvalanol-and-4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid-and-1,4-Dideoxy-O2-Sulfo-Glucuronic Acid-and-N,O6-Disulfo-Glucosamine-and-1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid-and-Naphthalene Trisulfonate-and-5-iodotubercidin-and-XL281-and-ABT-510-and-RAF-265-and-Seliciclib-and-Pazopanib-and-PLX-4720-and-N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide-and-[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID-and-Farnesyl diphosphate-and-5-aminonaphthalene-2-sulfonic acid-and-(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime-and-Cholecystokinin-and-Vemurafenib-and-Regorafenib-and-Dabrafenib-and-Foreskin fibroblast (neonatal)-and-Foreskin keratinocyte (neonatal)-and-Encorafenib-and-Fostamatinib-and-Ulixertinib-and-Ripretinib-and-MRTX849-and-AMG-510	46	DB00061-and-DB00364-and-DB00398-and-DB00605-and-DB00686-and-DB00877-and-DB01025-and-DB01109-and-DB01169-and-DB01901-and-DB01942-and-DB02264-and-DB02733-and-DB03276-and-DB03935-and-DB03959-and-DB03981-and-DB04409-and-DB04604-and-DB05190-and-DB05434-and-DB05984-and-DB06195-and-DB06589-and-DB06999-and-DB07000-and-DB07771-and-DB07780-and-DB08238-and-DB08553-and-DB08862-and-DB08881-and-DB08896-and-DB08912-and-DB10770-and-DB10772-and-DB11718-and-DB12010-and-DB13930-and-DB14840-and-DB15568-and-DB15569	GRB2-and-FGF2-and-BRAF-and-MAPK3-and-FGF1-and-KRAS-and-MKNK1	
Signaling by NOTCH4	3	6.33767596633351	2.33256741554061e-10	3.20961276378388e-07	NOTCH4,PSEN1,ADAM10	DLPC_CMC	genes P < pathway P	Reactome	XL784	1	DB04991	ADAM10	
Synthesis of wybutosine at G37 of tRNA(Phe)	3	-4.5552786584806	5.23161781908214e-06	0.000899838264882128	TYW3,TYW5,TYW1	DLPC_CMC	genes P < pathway P	Reactome		0			
Translocation of ZAP-70 to Immunological synapse	7	4.47999548437851	7.46446183843486e-06	0.000933736317244215	PTPN22,HLA-DRA,HLA-DRB1,HLA-DQA1,HLA-DPA1,HLA-DPB1,CD4	DLPC_CMC	genes P < pathway P	Reactome	Antithymocyte immunoglobulin (rabbit)-and-1D09C3-and-Glatiramer-and-Clenoliximab-and-Coccidioides immitis spherule-and-Ibalizumab	6	DB00098-and-DB05121-and-DB05259-and-DB06241-and-DB11294-and-DB12698	CD4-and-HLA-DRA-and-HLA-DRB1	
