path	ngenes_tscore	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_BHcorr	genes_path	tissue	replicated	class_pathway	type_path	drugBank_ann	drugBank_n	drugBank_id	drugBank_gene	drugBank_usedForCAD
transporter activity	26	3.94349800790748	8.03016587567636e-05	0.00625683757813116	SYPL2,AQP12A,SYNPR,SEC22A,SLC51A,TAP2,STEAP2,AP4M1,AQP3,CUBN,GRID1,SLC22A18,TIMM10,FXYD2,SLCO1C1,SLCO1B3,SLC11A2,ATP5G2,ATP5B,SYT1,AP3B2,SV2B,ABCC6,SLC5A11,GRIN2C,CPNE1	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Cyclosporine-and-Cyanocobalamin-and-Glutamic acid-and-Glycine-and-ATP-and-Pravastatin-and-Valsartan-and-Bortezomib-and-Erythromycin-and-Hydroxocobalamin-and-Nelfinavir-and-Lovastatin-and-Phenytoin-and-Clotrimazole-and-Olmesartan-and-Theophylline-and-Liothyronine-and-Conjugated estrogens-and-Indomethacin-and-Digoxin-and-Beclomethasone dipropionate-and-Progesterone-and-Teniposide-and-Levothyroxine-and-Meperidine-and-Raloxifene-and-Ritonavir-and-Dextrothyroxine-and-Cisplatin-and-Caspofungin-and-Vincristine-and-Methotrexate-and-Vinblastine-and-Diclofenac-and-Ivermectin-and-Cyclothiazide-and-Testosterone-and-Simvastatin-and-Nystatin-and-Mycophenolate mofetil-and-Daunorubicin-and-Etoposide-and-Estradiol-and-Sulfasalazine-and-Mifepristone-and-Dinoprostone-and-Tipranavir-and-Meclofenamic acid-and-Fexofenadine-and-Dactinomycin-and-Dipyridamole-and-Telithromycin-and-Doxorubicin-and-Probenecid-and-Rifampicin-and-Novobiocin-and-Atazanavir-and-Atorvastatin-and-Ouabain-and-Fluvastatin-and-Rosuvastatin-and-Pioglitazone-and-Sulfinpyrazone-and-Nefazodone-and-Clarithromycin-and-Paclitaxel-and-Gemfibrozil-and-Docetaxel-and-Tenocyclidine-and-Liotrix-and-Everolimus-and-Lopinavir-and-Prasterone-and-Cholic Acid-and-Glycocholic acid-and-Quercetin-and-Taurocholic acid-and-Dronedarone-and-Ataluren-and-Cobimetinib-and-Prasterone sulfate-and-Dovitinib-and-Romidepsin-and-Simeprevir-and-Ambrisentan-and-Ginsenoside Rb1-and-Ginsenoside Rg1-and-Cabazitaxel-and-Mangafodipir-and-1-ACETYL-2-CARBOXYPIPERIDINE-and-AUROVERTIN B-and-Piceatannol-and-N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE-and-Leukotriene C4-and-Pitavastatin-and-DPDPE-and-Cholecystokinin-and-Rilpivirine-and-Gadoxetic acid-and-Dabrafenib-and-Inositol nicotinate-and-Empagliflozin-and-Idelalisib-and-Cobicistat-and-Thyroid, porcine-and-Daclatasvir-and-Copper-and-Technetium Tc-99m mebrofenin-and-Sincalide-and-Sacubitril-and-Paritaprevir-and-Silibinin-and-Tenofovir alafenamide-and-Selexipag-and-Sennosides-and-Grazoprevir-and-Asunaprevir-and-Thimerosal-and-Velpatasvir-and-Rifamycin-and-Istradefylline-and-Baricitinib-and-Revefenacin-and-Valspodar-and-Bempedoic acid-and-Selinexor-and-Voxilaprevir-and-Letermovir-and-Rucaparib-and-Rimegepant-and-Fedratinib-and-Lurbinectedin-and-Phenethyl Isothiocyanate-and-Darolutamide-and-Pexidartinib-and-Levosalbutamol-and-Levomenol-and-Parachlorophenol-and-Ferrous sulfate anhydrous-and-Potassium gluconate-and-Enasidenib-and-Pibrentasvir-and-Glecaprevir-and-Testosterone undecanoate-and-Estradiol acetate-and-Estradiol benzoate-and-Estradiol cypionate-and-Estradiol dienanthate-and-Estradiol valerate-and-Tetraferric tricitrate decahydrate-and-Remdesivir-and-Trastuzumab deruxtecan-and-Ubrogepant-and-Elexacaftor-and-Ferric maltol	174	DB00091-and-DB00115-and-DB00142-and-DB00145-and-DB00171-and-DB00175-and-DB00177-and-DB00188-and-DB00199-and-DB00200-and-DB00220-and-DB00227-and-DB00252-and-DB00257-and-DB00275-and-DB00277-and-DB00279-and-DB00286-and-DB00328-and-DB00390-and-DB00394-and-DB00396-and-DB00444-and-DB00451-and-DB00454-and-DB00481-and-DB00503-and-DB00509-and-DB00515-and-DB00520-and-DB00541-and-DB00563-and-DB00570-and-DB00586-and-DB00602-and-DB00606-and-DB00624-and-DB00641-and-DB00646-and-DB00688-and-DB00694-and-DB00773-and-DB00783-and-DB00795-and-DB00834-and-DB00917-and-DB00932-and-DB00939-and-DB00950-and-DB00970-and-DB00975-and-DB00976-and-DB00997-and-DB01032-and-DB01045-and-DB01051-and-DB01072-and-DB01076-and-DB01092-and-DB01095-and-DB01098-and-DB01132-and-DB01138-and-DB01149-and-DB01211-and-DB01229-and-DB01241-and-DB01248-and-DB01520-and-DB01583-and-DB01590-and-DB01601-and-DB01708-and-DB02659-and-DB02691-and-DB04216-and-DB04348-and-DB04855-and-DB05016-and-DB05239-and-DB05804-and-DB05928-and-DB06176-and-DB06290-and-DB06403-and-DB06749-and-DB06750-and-DB06772-and-DB06796-and-DB07384-and-DB07394-and-DB08399-and-DB08629-and-DB08855-and-DB08860-and-DB08861-and-DB08862-and-DB08864-and-DB08884-and-DB08912-and-DB08949-and-DB09038-and-DB09054-and-DB09065-and-DB09100-and-DB09102-and-DB09130-and-DB09137-and-DB09142-and-DB09292-and-DB09297-and-DB09298-and-DB09299-and-DB11362-and-DB11365-and-DB11575-and-DB11586-and-DB11590-and-DB11613-and-DB11753-and-DB11757-and-DB11817-and-DB11855-and-DB11869-and-DB11936-and-DB11942-and-DB12026-and-DB12070-and-DB12332-and-DB12457-and-DB12500-and-DB12674-and-DB12695-and-DB12941-and-DB12978-and-DB13139-and-DB13153-and-DB13154-and-DB13257-and-DB13620-and-DB13874-and-DB13878-and-DB13879-and-DB13946-and-DB13952-and-DB13953-and-DB13954-and-DB13955-and-DB13956-and-DB14520-and-DB14761-and-DB14962-and-DB15328-and-DB15444-and-DB15598	SLCO1B3-and-CUBN-and-GRIN2C-and-ABCC6-and-SLCO1C1-and-CPNE1-and-SLC51A-and-FXYD2-and-ATP5B-and-SLC11A2-and-AQP3	Lovastatin-and-Simvastatin-and-Atorvastatin-and-Rosuvastatin-and-Pitavastatin
sodium:potassium-exchanging ATPase activity	2	3.41981141982397	0.000626645602497806	0.0308708311674083	ATP1A4,FXYD2	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Cyclothiazide-and-Thimerosal-and-Potassium gluconate	3	DB00606-and-DB11590-and-DB13620	FXYD2	
potassium ion transport	5	3.38618562682779	0.000708714266260007	0.0316171065424152	ATP1A4,KCNMB3,FXYD2,NMRAL1,KCNK6	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Ibutilide-and-Cyclothiazide-and-Quinidine-and-2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID-and-Thimerosal-and-Potassium gluconate	6	DB00308-and-DB00606-and-DB00908-and-DB08784-and-DB11590-and-DB13620	KCNK6-and-FXYD2-and-NMRAL1	
acute-phase response	3	-3.40078910205246	0.000671916444628428	0.031412093786379	SIGIRR,SAAL1,STAT3	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	ENMD-1198	1	DB05959	STAT3	
axon guidance	17	3.43904855004767	0.000583762532346032	0.0303232204301967	CNTN2,COL4A4,CNTN6,CNTN4,EPHB1,LAMB1,UNC5D,DPYSL4,HRAS,TRPC6,CACNB3,SOS2,RPS6KA5,SPTBN5,WNT3,ITGB3,YWHAB	Colon_Sigmoid	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Abciximab-and-Eptifibatide-and-Antithymocyte immunoglobulin (rabbit)-and-Nimodipine-and-Levothyroxine-and-Tirofiban-and-Mibefradil-and-Hexane-1,6-Diol-and-Resveratrol-and-Trifluoroethanol-and-Guanosine-5'-Triphosphate-and-Guanosine-5'-Diphosphate-and-Dronedarone-and-Lefradafiban-and-LM-609-and-Lanoteplase-and-TRC093-and-Fradafiban-and-N,N'-DIMETHYL-N-(ACETYL)-N'-(7-NITROBENZ-2-OXA-1,3-DIAZOL-4-YL)ETHYLENEDIAMINE-and-Copper-and-Fostamatinib-and-Phenethyl Isothiocyanate-and-Ferric maltol	24	DB00054-and-DB00063-and-DB00098-and-DB00393-and-DB00451-and-DB00775-and-DB01388-and-DB02210-and-DB02709-and-DB03226-and-DB04137-and-DB04315-and-DB04855-and-DB04863-and-DB05787-and-DB06245-and-DB06356-and-DB06472-and-DB08751-and-DB09130-and-DB12010-and-DB12695-and-DB15598	ITGB3-and-CACNB3-and-HRAS-and-LAMB1-and-COL4A4-and-YWHAB-and-EPHB1	
neuromuscular junction development	3	3.9103441948407	9.21646944526578e-05	0.00687926706951961	ALS2,DOK7,TNC	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
oligodendrocyte development	2	3.38564306500911	0.000710116831433924	0.0316171065424152	FGFR3,EIF2B2	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Palifermin-and-XL999-and-Pazopanib-and-Ponatinib-and-Lenvatinib-and-Nintedanib-and-Fostamatinib-and-Erdafitinib-and-Pemigatinib-and-Selpercatinib	10	DB00039-and-DB05014-and-DB06589-and-DB08901-and-DB09078-and-DB09079-and-DB12010-and-DB12147-and-DB15102-and-DB15685	FGFR3	
hydrolase activity, acting on acid anhydrides	3	-3.41951805087548	0.000627321702867121	0.0308708311674083	SKIV2L,DDX11,DHX58	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
cellular response to hormone stimulus	2	-3.40725207948994	0.000656204921871436	0.031412093786379	PGF,STAT3	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	ENMD-1198-and-Aflibercept	2	DB05959-and-DB08885	STAT3-and-PGF	
toll-like receptor 5 signaling pathway	5	3.44566541984545	0.000569655190905248	0.0303232204301967	MAPK8,ATF1,NFKBIA,RPS6KA5,UBA52	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Tamoxifen-and-Pseudoephedrine-and-Acetylsalicylic acid-and-Pyrazolanthrone-and-Bardoxolone methyl-and-Astaxanthin-and-6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE-and-2-({2-[(3-HYDROXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)BENZAMIDE-and-N-(4-AMINO-5-CYANO-6-ETHOXYPYRIDIN-2-YL)-2-(4-BROMO-2,5-DIMETHOXYPHENYL)ACETAMIDE-and-5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE-and-2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide	11	DB00675-and-DB00852-and-DB00945-and-DB01782-and-DB05983-and-DB06543-and-DB07218-and-DB07268-and-DB07272-and-DB07276-and-DB07845	MAPK8-and-ATF1-and-NFKBIA	Acetylsalicylic acid
myelination	3	3.51571368062461	0.000438573677711511	0.0248525084036523	GNPAT,GJC3,EIF2B2	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
negative regulation of macrophage differentiation	2	-3.95370707884429	7.6949606066399e-05	0.00625633753670287	ZBTB46,THOC5	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
negative regulation of mitotic nuclear division	2	3.25793657195804	0.00112225487232575	0.0467456144331382	NME6,FGFR3	Colon_Sigmoid	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Palifermin-and-XL999-and-Pazopanib-and-Ponatinib-and-Lenvatinib-and-Nintedanib-and-Fostamatinib-and-Erdafitinib-and-Pemigatinib-and-Selpercatinib	10	DB00039-and-DB05014-and-DB06589-and-DB08901-and-DB09078-and-DB09079-and-DB12010-and-DB12147-and-DB15102-and-DB15685	FGFR3	
positive regulation of receptor-mediated endocytosis	3	-3.37255125387066	0.000744752237341084	0.0323880624146006	PPT1,KIF3A,CBL	Colon_Sigmoid	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Hexadecanesulfonyl fluoride-and-Palmitic Acid	2	DB02035-and-DB03796	PPT1	
cellular response to prostaglandin D stimulus	2	3.55732999441858	0.000374643405667905	0.0225994570515801	TNC,PTGDR	Colon_Sigmoid	FALSE	pathway P < genes P & genes FDR > 0.05	GO	Nedocromil	1	DB00716	PTGDR	
hydrolase activity	49	-4.14729122982272	3.36432006779838e-05	0.00843643587881113	CDA,HFM1,NUDT17,PM20D1,ERCC3,TRANK1,NT5DC2,ABHD10,AADAC,CRMP1,GNPDA2,NAAA,METAP1,AGA,DCTD,NUDT12,NT5E,FIGNL1,MBLAC1,EPHX2,DDHD2,GGH,ERMP1,DDX58,NUDT2,GNE,C9orf156,HDHD3,ENDOG,DDX50,NUDT13,DPYSL4,PSMC3,ASRGL1,IGHMBP2,MRE11A,AMDHD1,DDX55,ACOT1,HAGH,NUDT7,ELAC2,ABHD15,DHX58,PSMC5,EPHX3,NUDT19,ITPA,APOBEC3H	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Aspartic acid-and-Glutathione-and-Folic acid-and-Asparagine-and-Gemcitabine-and-Methotrexate-and-Pentoxifylline-and-Azacitidine-and-Cytarabine-and-Azathioprine-and-Capecitabine-and-N-Cyclohexyl-N'-(4-Iodophenyl)Urea-and-1-Beta-Ribofuranosyl-1,3-Diazepinone-and-N-Cyclohexyl-N'-Decylurea-and-S-(N-hydroxy-N-bromophenylcarbamoyl)glutathione-and-N-Cyclohexyl-N'-(Propyl)Phenyl Urea-and-Citric acid-and-Ovalicin-and-AR-9281-and-5-CHLORO-6-METHYL-N-(2-PHENYLETHYL)-2-PYRIDIN-2-YLPYRIMIDIN-4-AMINE-and-TERT-BUTYL {2-[(1,3-THIAZOL-2-YLAMINO)CARBONYL]PYRIDIN-3-YL}CARBAMATE-and-3-[(2,2-DIMETHYLPROPANOYL)AMINO]-N-1,3-THIAZOL-2-YLPYRIDINE-2-CARBOXAMIDE-and-N-[(CYCLOHEXYLAMINO)CARBONYL]GLYCINE-and-4-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}BUTANOIC ACID-and-6-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEXANOIC ACID-and-7-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}HEPTANOIC ACID-and-Cannabidiol-and-Ebselen-and-Phenethyl Isothiocyanate-and-Medical Cannabis-and-Nabiximols	34	DB00128-and-DB00143-and-DB00158-and-DB00174-and-DB00441-and-DB00563-and-DB00806-and-DB00928-and-DB00987-and-DB00993-and-DB01101-and-DB02029-and-DB03185-and-DB03677-and-DB03889-and-DB04213-and-DB04272-and-DB04324-and-DB06345-and-DB07901-and-DB07902-and-DB07903-and-DB08256-and-DB08257-and-DB08258-and-DB08259-and-DB09061-and-DB12610-and-DB12695-and-DB14009-and-DB14011	ASRGL1-and-HAGH-and-GGH-and-CDA-and-NT5E-and-DCTD-and-ITPA-and-EPHX2-and-METAP1-and-NAAA-and-PSMC3	
rhodopsin kinase activity	2	3.57828525159519	0.000345855871371875	0.0370793899991848	GRK4,GRK1	Colon_Transverse	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
regulation of cyclin-dependent protein serine/threonine kinase activity	2	-3.60159890879685	0.000316266051196522	0.0349368564555092	CDC25A,CCNE2	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
G1/S transition of mitotic cell cycle	9	-3.91759924608227	8.94352285084989e-05	0.0196300305485853	CDC25A,DHFR,CCNE2,CACUL1,PSMD13,PSMD9,PSMA4,CRLF3,MCM8	Heart_Atrial_Appendage	FALSE	pathway P < genes P & genes FDR > 0.05	GO	NADH-and-Folic acid-and-Pyrimethamine-and-Lamotrigine-and-Methotrexate-and-Pemetrexed-and-Gentamicin-and-Proguanil-and-Trimetrexate-and-2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine-and-2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline-and-6-(Octahydro-1h-Indol-1-Ylmethyl)Decahydroquinazoline-2,4-Diamine-and-N6-(2,5-Dimethoxy-Benzyl)-N6-Methyl-Pyrido[2,3-D]Pyrimidine-2,4,6-Triamine-and-2,4-Diamino-6-[N-(3',4',5'-Trimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Sri-9662-and-2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium-and-Sri-9439-and-Nicotinamide adenine dinucleotide phosphate-and-Piritrexim-and-Biopterin-and-Urea-and-2,4-Diamino-6-[N-(3',5'-Dimethoxybenzyl)-N-Methylamino]Pyrido[2,3-D]Pyrimidine-and-Iclaprim-and-Pralatrexate-and-5-[(3R)-3-(5-methoxybiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-4'-methylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-3',5'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[(3R)-3-(5-methoxy-2',6'-dimethylbiphenyl-3-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine-and-5-[3-(2,5-dimethoxyphenyl)prop-1-yn-1-yl]-6-ethylpyrimidine-2,4-diamine-and-[N-(2,4-DIAMINOPTERIDIN-6-YL)-METHYL]-DIBENZ[B,F]AZEPINE-and-(4aS)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2H-dibenzo[b,f]azepin-8-ol-and-(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE-and-(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine-and-Aminopterin	36	DB00157-and-DB00158-and-DB00205-and-DB00555-and-DB00563-and-DB00642-and-DB00798-and-DB01131-and-DB01157-and-DB02104-and-DB02427-and-DB02559-and-DB02583-and-DB02919-and-DB03060-and-DB03125-and-DB03351-and-DB03461-and-DB03695-and-DB03886-and-DB03904-and-DB03987-and-DB06358-and-DB06813-and-DB07140-and-DB07141-and-DB07142-and-DB07144-and-DB08234-and-DB08406-and-DB08448-and-DB08515-and-DB08642-and-DB08878	DHFR-and-PSMA4	
acyl-CoA dehydrogenase activity	2	-3.60667114357469	0.000310150324253684	0.0349368564555092	ACADM,ACOX2	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Octanoyl-Coenzyme A-and-Flavin adenine dinucleotide-and-3-thiaoctanoyl-CoA	3	DB02910-and-DB03147-and-DB03415	ACADM	
proteasome-mediated ubiquitin-dependent protein catabolic process	3	4.2636321834388	2.01130427018257e-05	0.0111091039189751	RNF187,BIRC2,RNF34	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	GO		0			
regulation of protein kinase activity	3	-3.98944589101596	6.62278241250965e-05	0.0182899174292141	CSNK2B,TRPT1,PRKAR1A	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	GO	ATP-and-(Rp)-cAMPS-and-Cyclic GMP-and-Cyclic adenosine monophosphate-and-Quercetin-and-GEM-231	6	DB00171-and-DB01790-and-DB02315-and-DB02527-and-DB04216-and-DB05798	CSNK2B-and-PRKAR1A	
regulation of inflammatory response	4	3.55956432597641	0.000371470539414132	0.0363473630870671	TBC1D23,LYN,BIRC2,PYCARD	Heart_Atrial_Appendage	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Dasatinib-and-1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine-and-Bosutinib-and-Ponatinib-and-Nintedanib-and-Fostamatinib	6	DB01254-and-DB03023-and-DB06616-and-DB08901-and-DB09079-and-DB12010	LYN	
positive regulation of vascular endothelial growth factor production	3	-3.75848520376073	0.000170945145436309	0.0417106154864593	ARNT,ADORA2B,TGFB1	Heart_Left_Ventricle	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Human immunoglobulin G-and-Caffeine-and-Theophylline-and-Adenosine-and-Enprofylline-and-Eculizumab-and-Zinc-and-Defibrotide-and-CVT-6883-and-Copper-and-Ravulizumab-and-Zinc acetate-and-Zinc chloride-and-Zinc sulfate, unspecified form	14	DB00028-and-DB00201-and-DB00277-and-DB00640-and-DB00824-and-DB01257-and-DB01593-and-DB04932-and-DB05936-and-DB09130-and-DB11580-and-DB14487-and-DB14533-and-DB14548	C5-and-ADORA2B	
toll-like receptor signaling pathway	7	-3.49089136263647	0.000481411962257979	0.0174736592492872	RPS6KA1,CTSS,CTSK,TLR1,TAB2,NOD2,NFKBIB	Liver	TRUE	pathway P < genes P & genes FDR > 0.05	GO	[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate-and-Cyanamide-and-3-amino-5-phenylpentane-and-N2-[(Benzyloxy)carbonyl]-N-[(3R)-1-{N-[(benzyloxy)carbonyl]-L-leucyl}-4-oxo-3-pyrrolidinyl]-L-leucinamide-and-N2-[(benzyloxy)carbonyl]-n1-[(3S)-1-cyanopyrrolidin-3-yl]-l-leucinamide-and-N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide-and-Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide-and-Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide-and-Dibenzyl (carbonylbis{2,1-hydrazinediyl[(2S)-4-methyl-1-oxo-1,2-pentanediyl]})biscarbamate-and-Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide-and-N2-({[(4-Bromophenyl)Methyl]Oxy}Carbonyl)-N1-[(1s)-1-Formylpentyl]-L-Leucinamide-and-(2R)-2-(3-Biphenylyl)-N-{(2R)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide-and-Tert-Butyl(1s)-1-Cyclohexyl-2-Oxoethylcarbamate-and-Purvalanol A-and-MIV-701-and-Relacatib-and-Odanacatib-and-N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE-and-1-{7-cyclohexyl-6-[4-(4-methylpiperazin-1-yl)benzyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}methanamine-and-N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE-and-N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE-and-(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate-and-1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE-and-N~2~-1,3-BENZOXAZOL-2-YL-3-CYCLOHEXYL-N-{2-[(4-METHOXYPHENYL)AMINO]ETHYL}-L-ALANINAMIDE-and-N-[(1S)-1-{1-[(1R,3E)-1-ACETYLPENT-3-EN-1-YL]-1H-1,2,3-TRIAZOL-4-YL}-1,2-DIMETHYLPROPYL]BENZAMIDE-and-6-(cyclohexylamino)-9-[2-(4-methylpiperazin-1-yl)-ethyl]-9H-purine-2-carbonitrile-and-9-CYCLOPENTYL-6-[2-(3-IMIDAZOL-1-YL-PROPOXY)-PHENYLAMINO]-9H-PURINE-2-CARBONITRILE-and-(1R)-2-[(CYANOMETHYL)AMINO]-1-({[2-(DIFLUOROMETHOXY)BENZYL]SULFONYL}METHYL)-2-OXOETHYL MORPHOLINE-4-CARBOXYLATE-and-N-(2-AMINOETHYL)-N~2~-{(1S)-1-[4'-(AMINOSULFONYL)BIPHENYL-4-YL]-2,2,2-TRIFLUOROETHYL}-L-LEUCINAMIDE-and-(1R,2R)-N-(2-Aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide-and-TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE-and-2-[(2',3',4'-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL-and-N-[(1S)-2-[(4-cyano-1-methylpiperidin-4-yl)amino]-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide-and-N-[(1S)-2-{[(1R)-2-(benzyloxy)-1-cyano-1-methylethyl]amino}-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide-and-Fostamatinib-and-Mifamurtide-and-MIV-711	38	DB01858-and-DB02679-and-DB02869-and-DB03405-and-DB03456-and-DB03642-and-DB03767-and-DB03837-and-DB03891-and-DB03984-and-DB04234-and-DB04244-and-DB04523-and-DB04751-and-DB05736-and-DB06367-and-DB06670-and-DB07520-and-DB07563-and-DB07587-and-DB07589-and-DB07592-and-DB07593-and-DB07839-and-DB07878-and-DB07965-and-DB07967-and-DB08195-and-DB08270-and-DB08287-and-DB08594-and-DB08611-and-DB08752-and-DB08755-and-DB12010-and-DB13615-and-DB15599	CTSK-and-CTSS-and-RPS6KA1-and-NOD2	
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	2	3.22036779550994	0.00128026227744781	0.0412407891075742	INPP5B,SYNJ2	Liver	TRUE	pathway P < genes P & genes FDR > 0.05	GO	D-Myo-Inositol-1,4-Bisphosphate	1	DB03158	INPP5B	
transmembrane receptor protein serine/threonine kinase activity	2	3.55306533722614	0.000380769879333665	0.0144121399327792	ACVR2A,BMPR2	Liver	TRUE	pathway P < genes P & genes FDR > 0.05	GO	Dibotermin alfa-and-Fostamatinib-and-Sotatercept	3	DB11639-and-DB12010-and-DB12118	BMPR2-and-ACVR2A	
